horse_idx,layer_idx,sawyer-right_j0,sawyer-right_j1,sawyer-right_j2,sawyer-right_j3,sawyer-right_j4,sawyer-right_j5,sawyer-right_j6
11,178,0.1335501495616048,0.5018170207604948,-1.1412751180362692,1.828488996018807,-2.601744894351176,1.8706398795079773,-0.06905629535606017
11,179,0.122813855553897,0.5035869910795708,-1.145112316050728,1.8240081826202617,-2.603350306432095,1.8757306166550933,-0.06816453458264934
11,180,0.11209104498767215,0.5053491964657635,-1.1490047537265895,1.8194774238846931,-2.6049482093217904,1.8807446008321145,-0.06726023429725282
11,181,0.1013851805703219,0.5071197577134323,-1.1529607837007319,1.814887687304688,-2.606514194612965,1.8856674087853644,-0.06633075895729408
11,182,0.0906992066202998,0.508908618414687,-1.1569857883391366,1.8102306084236446,-2.6080316950363573,1.8904862533565716,-0.06536979251917284
11,183,0.08003470693995844,0.5107214543623033,-1.1610830923331943,1.8055005189811555,-2.6094906587911013,1.8951928859209544,-0.06437431191428235
11,184,0.06939242723104612,0.5125598262687963,-1.1652536005561174,1.800692858114993,-2.6108857831028596,1.8997819121388806,-0.0633450284026893
11,185,0.058773066320535375,0.5144229641029379,-1.1694966973825507,1.7958054625601378,-2.612215448400559,1.9042503801148842,-0.062284191015208386
11,186,0.04817739687440999,0.5163074254646122,-1.1738099081291675,1.790836766804499,-2.6134809347478805,1.9085963306219453,-0.06119662207183205
11,187,0.03760673609068887,0.5182074460402661,-1.1781889310183544,1.7857861079302262,-2.6146862978800223,1.9128184074716217,-0.06008931191830285
11,188,0.027063074979357803,0.5201150386602742,-1.1826276114605374,1.7806536989371962,-2.6158382143736514,1.916915769233966,-0.05897120497704662
11,189,0.016138873159139804,0.522217448974751,-1.1874767144675424,1.7752851602189084,-2.616898552278418,1.9212113053759894,-0.05757956220619277
11,190,0.006096760121529778,0.523891403321945,-1.191463526175935,1.769977982387093,-2.6181628594624047,1.9244541263682233,-0.05721524922789949
11,191,-0.0038923069412916157,0.5252460436134714,-1.1955230339354859,1.7646744236382172,-2.619708069330101,1.9277519160694532,-0.05685681985252962
11,192,-0.014945154821067704,0.5271134178940267,-1.200633948463221,1.7592583189186788,-2.6208283405836585,1.9322724158196816,-0.05501740441500716
11,193,-0.025068172733328155,0.5288198037261614,-1.2048769636525245,1.7538658938585183,-2.6219838085710894,1.9355043295976588,-0.05446013957641895
11,194,-0.03492383993944574,0.5302055694241465,-1.2090430442771731,1.748384318769076,-2.6233363451751757,1.9384699055496328,-0.05408002715643964
11,195,-0.045026208345815256,0.5314900985614808,-1.2133746775752432,1.7428311236200944,-2.6248492161591894,1.9416250539881688,-0.05353576262960854
11,196,-0.055216544498743754,0.5327952975243297,-1.2177852414270776,1.7372338178886,-2.62633520972689,1.9448687754331424,-0.05291407233960165
11,197,-0.06533618699159292,0.5341170662285516,-1.2222048791467928,1.731593930096045,-2.627724963212372,1.9480145692026265,-0.052271705854382365
11,198,-0.07538238364575127,0.5354393206255433,-1.2266510705174092,1.7258959052155367,-2.6290531504419006,1.9510092898218332,-0.051621033512105854
11,199,-0.08539572058945663,0.5367599610752,-1.231146594967272,1.720129542982799,-2.630347039961156,1.9538807012516581,-0.05096394998555358
11,200,-0.09538946617477337,0.5380793761896581,-1.235690830596736,1.714296055968885,-2.6316056566274786,1.956652017947956,-0.05029857625654588
11,201,-0.10535774727595541,0.5393971087813115,-1.240277786319516,1.7084001629799759,-2.6328231690974793,1.9593248996932087,-0.049622985399307026
11,202,-0.11529596224625566,0.5407124567404595,-1.2449054940747226,1.7024437480196501,-2.6339983548103048,1.9618951587028748,-0.048937339414312074
11,203,-0.12520460137218747,0.542024945588309,-1.249574471690584,1.6964266286262941,-2.6351320761223995,1.9643620950230851,-0.0482426947225354
11,204,-0.13508498736608798,0.5433338611864139,-1.2542843529492311,1.6903488392855501,-2.636224791435272,1.9667272392317272,-0.04753974197959783
11,205,-0.1449376913127748,0.5446386311868473,-1.2590346888663573,1.6842111447124057,-2.637276579049562,1.9689921943233226,-0.046828759044764835
11,206,-0.15476283469796467,0.5459386225589093,-1.2638247353465288,1.6780143511703223,-2.638287399793807,1.9711579780773276,-0.046109998481636286
11,207,-0.16456065961027824,0.5472333204825558,-1.2686540556211454,1.6717591275797248,-2.6392573018807455,1.973225486212544,-0.04538382983202615
11,208,-0.17433143979943017,0.5485221094927669,-1.27352200805037,1.6654460496997265,-2.6401863708746705,1.9751956146280787,-0.044650679869825245
11,209,-0.18407547890458104,0.549804405017979,-1.2784280783163633,1.6590757344599316,-2.641074766396927,1.9770693302596276,-0.0439109973676667
11,210,-0.19379317202754515,0.551079690251536,-1.2833718968241226,1.652648779557949,-2.641922632389751,1.978847648878781,-0.04316516829546845
11,211,-0.2034848353185962,0.5523473828700546,-1.2883528919217118,1.6461657531514131,-2.6427300889959406,1.9805315313012546,-0.042413593745479865
11,212,-0.2131507719453772,0.5536069252515937,-1.2933705721243614,1.6396272434124723,-2.643497309589437,1.982121922238136,-0.04165671859928353
11,213,-0.22279136985258052,0.5548578157591768,-1.2984245809621633,1.6330338063601002,-2.6442244682338742,1.983619791955852,-0.04089495386587599
11,214,-0.2324069544125729,0.5560994829420998,-1.303514377266253,1.626385969392851,-2.644911741717196,1.985026080817514,-0.04012873102332404
11,215,-0.24199792354993682,0.5573314577767599,-1.308639669340472,1.6196842694982214,-2.645559318250321,1.9863417437579647,-0.03935846933338288
11,216,-0.2515646135180355,0.5585531868219612,-1.3137999414420898,1.6129292039603342,-2.6461673855065757,1.9875677095261928,-0.03858459661187498
11,217,-0.2611072970656192,0.5597640730300977,-1.3189946375342954,1.606121300721795,-2.646736220244583,1.9887048828729694,-0.037807622789512704
11,218,-0.2706264133342203,0.5609636659389361,-1.3242235636065165,1.5992610568412553,-2.6472660877857925,1.9897542012546858,-0.037028001042859096
11,219,-0.2801223329563715,0.5621514173934208,-1.3294862365515507,1.5923489039913181,-2.647757218255376,1.9907165892094125,-0.03624616974974388
11,220,-0.28959538029931836,0.5633267906248903,-1.3347822272514132,1.5853853193410044,-2.6482098929043705,1.9915929434154969,-0.03546262120782307
11,221,-0.2990458311754536,0.5644891724047512,-1.3401109752141498,1.5783707730423602,-2.648624475261537,1.9923841497357686,-0.034677900690016535
