horse_idx,layer_idx,panda-panda_joint1,panda-panda_joint2,panda-panda_joint3,panda-panda_joint4,panda-panda_joint5,panda-panda_joint6,panda-panda_joint7
1,300,1.187182422338414,-0.8052307711760761,0.2709547986545311,-1.8078844714148699,1.4857502817288872,1.6158567457015596,0.5780528180261701
1,301,1.1659498820649346,-0.8227163004251556,0.3091818738160518,-1.8037202913447543,1.4783171450055053,1.5965667054988195,0.5989869588687051
1,302,1.1271746649017196,-0.8546486639160037,0.3789927924254441,-1.7961155966428612,1.4647426274517568,1.5613389141787828,0.6372172340425393
1,303,1.110055682794073,-0.8687465748820135,0.4098138155950143,-1.7927581781147368,1.458749574668986,1.5457860953058113,0.6540956281445366
1,304,1.0796181067890518,-0.8938126818410405,0.4646136412725745,-1.7867886829083128,1.4480939177829253,1.5181331598940184,0.6841054383126757
1,305,1.0660764833713832,-0.9049645482357281,0.4889939862303002,-1.7841328651104162,1.4433532349902116,1.5058304181225368,0.6974567494704901
1,306,1.0442893299519318,-0.9229068153155576,0.5282195871519777,-1.7798599128924875,1.4357259380161247,1.4860365046316752,0.7189377089961105
1,307,1.0359504720423667,-0.9297740738726387,0.5432328707235317,-1.778224474764629,1.4328066513853077,1.4784605432889164,0.7271593736531071
1,308,1.021791765062606,-0.9414341240519846,0.5687242132069985,-1.7754476329612312,1.4278499385543741,1.4655971730402066,0.7411190959588135
1,309,1.014710251218846,-0.9472659282472411,0.5814737739508391,-1.7740587883654073,1.425370825837233,1.459163525206131,0.7481010871042065
1,310,0.9983848836761925,-0.9589652029679229,0.5880114207770992,-1.785342222448136,1.4382497019480711,1.4668042943785355,0.7339191874816599
1,311,0.9901104170332716,-0.9648170014686354,0.5903041808149312,-1.7917081996259154,1.445607853342094,1.4716807632944984,0.7253787333255508
1,312,0.965281897140289,-0.9823760178686791,0.5971838796119343,-1.8108100702137915,1.4676868605030413,1.4863131874388487,0.6997520863087945
1,313,0.9482253431543822,-0.9944386100996165,0.6019100555758518,-1.8239325635528323,1.4828545700249594,1.4963652861317447,0.6821472395356842
1,314,0.902854155372332,-1.0265256387984016,0.6144818926143937,-1.858838976064192,1.5232013480148834,1.5231043131225381,0.6353175686961354
1,315,0.8765301592455554,-1.0451422732855584,0.6217759707659022,-1.879091394232363,1.546610222224583,1.5386180802806881,0.6081473724976086
1,316,0.8163345079800973,-1.0877133339986955,0.6384554970276685,-1.925403036866795,1.600139801155447,1.5740937471653065,0.5460166972268832
1,317,0.7824245580526556,-1.1116948427421507,0.6478515561857575,-1.951491723504069,1.6302945598967025,1.5940782155182607,0.5110166923578037
1,318,0.7070204769513079,-1.1650214809145296,0.6687451643540272,-2.009504001529661,1.6973483856493954,1.6385168087830062,0.43318870348307215
1,319,0.6658898062698037,-1.1941095668799542,0.6801420026201475,-2.0411479638736547,1.7339242418190646,1.6627567321190506,0.39073586361744406
1,320,0.5770884889483285,-1.256910885440791,0.7047478316660228,-2.1094674319216535,1.8128916925367597,1.7150908440687567,0.29907997662018526
1,321,0.5321781284834087,-1.288672011731621,0.7171919787273549,-2.1440193060306787,1.8528286752719227,1.7415582873811586,0.25272594665825143
1,322,0.4484401647300437,-1.3478924680934672,0.740394810429793,-2.20844327305745,1.9272934886930504,1.790908365754931,0.16629617765635754
1,323,0.40967832427095535,-1.375305289931042,0.7511352729432829,-2.238264771213152,1.9617628391318414,1.8137522441922163,0.1262883154299174
1,324,0.3392984286795817,-1.4250787660081068,0.7706367367888997,-2.29241168224004,2.0243488581714972,1.8552298871595332,0.053646017412545266
1,325,0.30776280305354575,-1.4473811251475137,0.7793748978479283,-2.3166736778085513,2.052392225517732,1.8738150727367056,0.021096660871988568
1,326,0.24644493349991234,-1.490745831612046,0.796365377957947,-2.363848701289062,2.106919748173295,1.9099521070345207,-0.042192307042469804
1,327,0.21797246074982143,-1.5108818936134685,0.8042547744008606,-2.3857540541708815,2.1322391764939823,1.9267320560412888,-0.07158004388726727
1,328,0.16925417331044823,-1.5453360298977574,0.8177540544599766,-2.4232355643833716,2.1755623959963675,1.9554436606182801,-0.12186440883737246
1,329,0.14573078700023187,-1.5619720407347302,0.8242721156733466,-2.4413333278836986,2.196480800195717,1.9693069181658946,-0.1461439679979284
1,330,0.10223025353058474,-1.592736121070428,0.8363256158042468,-2.4748005488224556,2.2351640803155615,1.9949434949323281,-0.19104285126089376
1,331,0.0855293303959283,-1.6045472070506352,0.8409532505280876,-2.487649436866984,2.2500155415816327,2.004786006365221,-0.20828063522347234
1,332,0.06034808811580485,-1.622355672801956,0.8479306846630386,-2.5070226751167928,2.2724082106179186,2.0196263036971835,-0.23427134309239078
1,333,0.05353095508447863,-1.6271768281190784,0.8498196342305833,-2.512267449815648,2.2784704136676592,2.023643908548088,-0.24130761680556703
1,334,0.0398961214874253,-1.6368195401202152,0.8535976906229621,-2.522757435847064,2.2905953244527257,2.0316794527202604,-0.2553807500100418
1,335,0.03308121687225472,-1.6416391194756619,0.8554860227218856,-2.528000496109569,2.2966555458613347,2.035695744277803,-0.26241472367333696
1,336,0.03615476974406294,-1.6450843898767693,0.8607026242412871,-2.5330658582845462,2.3020569572901657,2.037312468396796,-0.2646543167601118
1,337,0.039515987406239725,-1.64858876779279,0.8661230595033538,-2.538257076289097,2.3075826537526836,2.038919839795704,-0.266849874240484
1,338,0.04625028882564598,-1.6556098951180316,0.8769830657712894,-2.5486578388371117,2.3186535540247726,2.0421402570911935,-0.2712487401701849
1,339,0.05297061214408501,-1.6623296614508838,0.8880948004054215,-2.5586066757213994,2.32990239518134,2.0453958641533605,-0.2755106107347937
1,340,0.07139344010391502,-1.6801118738250167,0.9191419001240536,-2.5849477044872238,2.3611697589763407,2.054421620942458,-0.28693725635063777
1,341,0.08259095619336838,-1.6903173974267534,0.9385445369574531,-2.6001029211757736,2.3805678441662588,2.060010269802828,-0.2936673963897916
1,342,0.10830140192793757,-1.7121020066210533,0.9844825215877027,-2.6326587877199072,2.4261570593515893,2.0731567920736174,-0.3086491634121758
1,343,0.1215757634250238,-1.7223808553523314,1.0089896017599216,-2.648202983114989,2.4503122752655124,2.080149742559492,-0.31617768210161057
1,344,0.14287028896811688,-1.7373985123820876,1.0494850542480116,-2.671321577283347,2.490051658520832,2.0917268535484292,-0.3281001542395907
