horse_idx,layer_idx,panda-panda_joint1,panda-panda_joint2,panda-panda_joint3,panda-panda_joint4,panda-panda_joint5,panda-panda_joint6,panda-panda_joint7
1,0,2.730666130398469e-07,-0.7853985712430547,-3.73099296090224e-07,-2.3561951131837056,-4.092834960994522e-06,1.5707983199647275,0.7853928251175617
1,1,0.0006823216835853887,-0.7864172623552693,-0.0009322770624311245,-2.357751181833866,-0.010226918663305828,1.5757767342479556,0.7720592052615096
1,2,0.0013605212801064907,-0.7874302046647934,-0.0018589219907650517,-2.359298469086471,-0.02039205378646677,1.5807270537327864,0.7588008313252321
1,3,0.002041421011799167,-0.7884471798300884,-0.0027892561966735892,-2.360851916597431,-0.030597659648641192,1.585697082064128,0.7454896714510585
1,4,0.0027207561439483866,-0.7894618181478195,-0.003717452642195281,-2.3624017945325004,-0.04077981464789199,1.5906556900589706,0.7322090985101624
1,5,0.003401726516697996,-0.7904788988208673,-0.004647883367148471,-2.363955403208415,-0.0509864793073477,1.5956262340140348,0.7188965576479243
1,6,0.004927076639297446,-0.7927571244110099,-0.0067320160653848,-2.3674354329998866,-0.07384905573158931,1.60676008085179,0.6890769257682982
1,7,0.006571805077224239,-0.7952136505295736,-0.008979259020569931,-2.3711878199948875,-0.09850092355662578,1.6187652947671172,0.6569235231925353
1,8,0.008608602524996864,-0.7982557613202061,-0.011762197899778278,-2.3758346979099474,-0.1290292833216907,1.633632301683788,0.6171054190038155
1,9,0.010824721702973104,-0.801565702655817,-0.014790149563844682,-2.380890691708712,-0.16224539109986144,1.649808215092934,0.5737816882029073
1,10,0.013381017323698908,-0.8053837231960337,-0.018282894744494595,-2.386722785458292,-0.20056020363103322,1.6684671468958714,0.5238077227138308
1,11,0.016172956534957882,-0.8095536952325999,-0.022097606996758896,-2.39309249132923,-0.24240693943518202,1.6888460901285935,0.4692270738014641
1,12,0.019196054092140015,-0.8140689197140012,-0.026228157993237328,-2.399989576402124,-0.28771837181716514,1.7109123060606428,0.41012742516621087
1,13,0.022452652919430875,-0.8189328959744274,-0.03067774894316853,-2.4074193859716995,-0.33652961749048665,1.7346828961814726,0.34646297411942917
1,14,0.025944574787244188,-0.8241483449655569,-0.035448868987394126,-2.41538607633966,-0.388867981901086,1.7601711579710908,0.2781981061996901
1,15,0.029646233608147804,-0.8296770519337563,-0.040506559069204945,-2.423831273795477,-0.4443499702233174,1.787190333271861,0.20583301326272768
1,16,0.03354762685905331,-0.8355040773554838,-0.045837152434244376,-2.432732157953311,-0.5028256605178466,1.815667411593662,0.12956323831990973
1,17,0.03763459091782117,-0.8416082667915523,-0.05142129689078334,-2.4420564150340045,-0.5640827625774538,1.8454990097215627,0.04966567124197875
1,18,0.04193443496168953,-0.8480304085603344,-0.057296305806028965,-2.4518663499136384,-0.6285305976080969,1.8768844630029895,-0.03439356514464783
1,19,0.04637284851988753,-0.8546595143624109,-0.06336064650255833,-2.461992426006304,-0.6950553696412639,1.9092813639029467,-0.12116174805170127
1,20,0.05082612447467884,-0.8613108182760869,-0.06944529414780416,-2.4721524101061547,-0.7618029054012158,1.941786748517469,-0.20822048142890257
1,21,0.05527442028787841,-0.8679546839722357,-0.07552313727271108,-2.4823010321974754,-0.8284757967460543,1.974255782045843,-0.29518185618215675
1,22,0.059723962190115006,-0.8746004107964559,-0.08160268296732215,-2.4924524971947672,-0.8951673649870481,2.0067339110364846,-0.3821675911893766
1,23,0.0641756420389729,-0.8812493308053954,-0.08768514980403333,-2.5026088398380657,-0.961890977653316,2.0392276453428337,-0.469195121703268
1,24,0.0686261077807999,-0.8878964374538048,-0.09376595776903714,-2.5127624125411554,-1.0285963927829203,2.071712517630211,-0.556198917191222
1,25,0.07307439573069836,-0.8945402914055197,-0.09984379015007437,-2.5229110166926456,-1.0952691662693603,2.1041814937627197,-0.6431601382219042
1,26,0.07752747303242014,-0.9011912986158356,-0.10592816636953295,-2.5330705475728785,-1.1620137245352162,2.1366854283672954,-0.7302149880570138
1,27,0.08197616104638575,-0.9078357500934443,-0.11200654537038644,-2.543220064455716,-1.2286924943468112,2.1691573246503864,-0.8171840300876314
1,28,0.08642426603056569,-0.9144793307720426,-0.1180841277597457,-2.5533682511776985,-1.2953625254676389,2.2016249652781767,-0.9041416742540302
1,29,0.09087835425569732,-0.9211318478728078,-0.12416988523489285,-2.5635300884422363,-1.362122235870289,2.234136278822343,-0.9912162870035643
1,30,0.09533300520410355,-0.927785205443276,-0.1302564115761248,-2.5736932095390777,-1.4288903806013478,2.266651699800376,-1.078301900637847
1,31,0.09977930696036624,-0.9344260928648147,-0.13633153015982458,-2.583837282263375,-1.495533384198817,2.299106178293685,-1.1652242928369163
1,32,0.10423648400715721,-0.9410832233539709,-0.14242150798682662,-2.5940061665600904,-1.5623393911337853,2.3316400377876336,-1.2523592900997886
1,33,0.10868935627022219,-0.94773392432357,-0.14850560405567412,-2.6041652296522244,-1.6290808761957316,2.364142475772537,-1.339410131558608
1,34,0.11313784032975693,-0.9543780711798353,-0.1545837043873276,-2.614314281220584,-1.6957565890542412,2.396612883349946,-1.426375186408867
1,35,0.11757827587159432,-0.961010196967161,-0.16065080778217503,-2.6244449703940096,-1.7623116674117068,2.4290245431277606,-1.5131828978195074
1,36,0.12202880142243185,-0.9676573929448438,-0.16673169746606595,-2.634598679549141,-1.8290179789834156,2.4615098519735072,-1.6001878625358577
1,37,0.12647888933884466,-0.9743039352824666,-0.1728119891966077,-2.644751390257546,-1.8957177311099627,2.4939919664348404,-1.6871842717755003
1,38,0.13093143627670717,-0.9809541503543101,-0.1788956407636441,-2.6549097111322837,-1.962454340063667,2.526492029803632,-1.7742287533320025
1,39,0.13537925835267972,-0.9875973084881376,-0.1849728366068348,-2.6650572524096727,-2.0291201308396616,2.558957605425754,-1.861180866821559
1,40,0.13982751040693076,-0.9942411088269926,-0.19105061994254702,-2.675205774666573,-2.0957923663073403,2.591426319548489,-1.9481413861149963
1,41,0.14428124201403206,-1.0008930932918008,-0.19713589015953173,-2.685366798320288,-2.1625467315719455,2.6239350300637043,-2.0352090272071854
1,42,0.14867371467901436,-1.007453582900777,-0.203137460403351,-2.6953880619671624,-2.228382922559633,2.655996598857888,-2.1210790946562756
1,43,0.1528665644626206,-1.0137159206625206,-0.2088662797762534,-2.7049538934060764,-2.2912270835118096,2.686601078847591,-2.203046660804719
1,44,0.15682106935966897,-1.0196222723383221,-0.21426944121385766,-2.7139759498168337,-2.3504988330526513,2.715465830087691,-2.2803547348980313
1,45,0.16053937917691957,-1.0251758488269136,-0.21934988206313544,-2.7224591359039074,-2.4062303933720806,2.742606544463508,-2.3530453443011083
1,46,0.16405198411200428,-1.03042218954083,-0.22414926201710994,-2.7304730139235533,-2.458878764121011,2.768245776249931,-2.42171455312792
1,47,0.16731633585515263,-1.0352977453665266,-0.22860944601397895,-2.737920511483417,-2.5078062136931467,2.7920729565112303,-2.4855305687849762
1,48,0.17033748520007783,-1.0398100600458091,-0.23273733510824382,-2.744813151782227,-2.5530884454667215,2.8141249520380396,-2.544592131100594
1,49,0.17310776400962588,-1.0439476806368024,-0.23652245208871198,-2.7511334402491654,-2.5946105262410786,2.8343457915072254,-2.598749332834628
1,50,0.17563234991219143,-1.0477183403184867,-0.23997187130800354,-2.756893189451587,-2.632450060444941,2.852773267502061,-2.6481033933533396
1,51,0.177976901935219,-1.051220105806386,-0.2431753047109397,-2.7622421980279825,-2.6675911726479087,2.86988663887876,-2.693937905189986
1,52,0.17990889946472893,-1.0541056900054553,-0.2458150522446414,-2.766649978812296,-2.6965487480369563,2.8839886894609745,-2.7317072371412325
1,53,0.18170129794066853,-1.0567827724766319,-0.24826406130598966,-2.770739269527943,-2.7234139552649395,2.8970717776042583,-2.766747495729888
1,54,0.18302751708523682,-1.0587635809143325,-0.25007611523594997,-2.7737649893707106,-2.7432918745037784,2.9067521261420475,-2.792674242708702
1,55,0.18435379031907007,-1.0607444701384345,-0.25188824306973345,-2.7767908326161317,-2.763170604454817,2.9164328694885966,-2.818602047098497
1,56,0.18529545127276048,-1.0621509118793506,-0.25317486333819617,-2.778939197194045,-2.777284607004463,2.9233062480501144,-2.837010924233284
1,57,0.1859747796587499,-1.0631655401211828,-0.25410305056623267,-2.7804890597380005,-2.7874666608894896,2.9282648068033374,-2.850291365291015
1,58,0.18665416388908324,-1.0641802517707593,-0.2550313140961105,-2.782039049688758,-2.7976495517925635,2.9332237731760067,-2.863572898070413
1,59,0.1873337068885549,-1.0651952005540328,-0.2559597945571361,-2.7835894018654224,-2.8078348223929317,2.9381838984375386,-2.876857534686228
1,60,0.18801289637702473,-1.066209621341931,-0.2568877920052276,-2.7851389475198336,-2.8180147944246774,2.943141443348965,-2.8901352603851422
1,61,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,62,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,63,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,64,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,65,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,66,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,67,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,68,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
1,69,0.1883793910258141,-1.0667570087745941,-0.25738854489464874,-2.7859750914826558,-2.8235079672988133,2.94581656378592,-2.8972999993856074
